Magnitude,Depth_km,Distance_to_Coast_km,Seismic_Station_Count,Significance_Score,Latitude,Longitude,Tsunami_Label
9.29052902740668,85.39077377361477,984.5051419742366,399,790.610281766568,-13.420231293875645,6.845158509270107,0
6.4061896845268915,281.2445175813958,322.3808783396932,331,994.7659289580412,31.934505704591743,58.74901048398877,0
7.87768057756453,65.57066240737545,807.461610732255,137,994.121292808788,-16.632635441527825,-57.222195703947264,1
8.55656274621548,187.77010611985472,762.5400311491187,396,876.6130919240697,54.087299968422485,168.00704826094466,1
5.511442366723771,219.92144698221202,695.2432550906349,271,547.9352373053509,-34.75774613231587,59.8677179419156,0
9.138779542655634,299.41350101062386,972.1003859118646,133,344.6544506803668,39.57598415683111,-79.30406293812018,0
9.427210836633314,529.830360829427,864.879248106337,270,875.893379805648,75.16975748390752,23.051692618968787,1
8.969427961840873,565.5239940493279,767.3929385160696,436,653.4950417205825,-47.46782678159692,-11.13324852140454,0
9.444110045608372,301.51480659771744,400.3182648596785,11,892.211001856346,32.61634973544675,39.2041629460966,1
9.193066826665687,134.42715866540445,570.5422130148382,205,745.0725307592948,-52.95866053115341,-46.39596479449136,0
6.714773255846512,306.0413151236756,917.1587434367467,93,528.7662911053011,-69.92264069803542,91.12621186240642,0
8.884413961270223,457.83483615228573,259.7232622138813,12,573.8706815588816,35.50709797070735,-43.176679348557855,0
5.984887873745578,232.44281578664902,325.307560629074,312,639.56941990308,25.241671374931002,92.45446935976025,0
8.642305141979321,309.22849728369886,740.4764749229178,291,506.67450650603,81.4253487675079,163.13637151249054,0
6.5020202190840095,623.1030761723069,366.8792572501037,29,424.93442754609936,47.066140981532754,-117.53871817160089,0
5.884118840615518,445.6306788721309,121.75025499204783,361,515.2828094614247,-81.8502992669398,75.81143977672721,0
9.273964147998129,89.87278893268677,376.47233046689075,425,466.6056181735421,-25.821656732465783,103.02456272722719,0
8.80420058878931,413.1073577134239,398.53585951649364,324,364.8240260894903,-9.561597588271951,-140.04364605392018,0
7.5733005349820735,65.35440058609895,214.10095704276944,83,953.353004080202,40.09671404563338,24.969035092184583,1
8.994001679192825,308.92501507751854,501.6148910143332,462,976.0043588986987,65.30778498765054,-152.3028348939772,1
