Slope_Aspect,Terrain_Curvature,Earthquake_Factor,Elevation_Level,Water_Flow_Intensity,Rock_Type_Lithology,Vegetation_Index_NDVI,Water_Index_NDWI,Plan_Curvature,Precipitation_Level,Profile_Curvature,Slope_Steepness,Landslide_Label
4.567756363181426,17.083908550348355,5.164791016817006,4.461468553212238,4.586311884506603,4.961960492092656,5.534358656807323,4.171502101822209,5.622212080400319,16.518649476671875,5.770238641815292,15.712133246024962,1.0
5.046316001611965,15.207037820396135,5.045461356113709,4.396061893262187,5.18788124188681,5.180626344650137,5.026477144192919,5.379271483830242,5.410567248078625,17.349964382945732,4.231694305194677,16.223132974558776,1.0
4.598496838520321,1.0636326187929845,4.142360472636172,4.1751511468323494,4.00316928893268,4.295492648875922,5.1932610647142825,5.159643546200149,4.3535137348469215,1.928348067557824,5.690674445012828,2.0084100117557973,0.0
4.124959522715642,2.1152397845513753,4.58144461524133,5.8275300066075975,5.477891693157455,4.053205127193127,5.346408492031619,4.636938851204611,4.539021242436594,1.6256098291594565,4.728581509347158,0.3598205515726074,0.0
5.297470277751469,1.0979607030084213,4.160179019342323,5.651061646693499,5.53341047599363,4.790960056063314,5.160076975801845,4.400701702896812,4.994280927504403,1.4175919059327025,5.227791684415827,1.6850166212986726,0.0
4.3617490488506725,1.6806933605947878,5.405983452293639,4.189907294836662,4.060759159908925,4.216578712965834,4.546657753331782,4.622678485858833,4.593241723667837,0.5605034998032581,4.897959548127679,1.6949999135457472,0.0
4.579849525266058,15.38962119356421,4.810430246598557,4.221989627843621,5.166844030366003,4.681333641643489,4.02424950017549,4.580184529901496,5.938481215073799,14.420607103942231,4.398035384029974,10.074034586448914,1.0
4.87622330206659,17.56016582465182,5.153766549953891,5.040365871464788,4.934482688817674,4.4999974704476635,5.913141714904319,4.869603067539655,5.15822853975121,14.129528961003446,5.16750837756614,14.178420616797142,1.0
4.205810176684001,1.1518803789521357,5.108601411695905,4.6282196381787415,5.566633780438723,5.442978346263345,4.060678493636637,4.468610198674356,4.585811493403458,0.8664501771528645,4.159232502654875,1.8397236173980152,0.0
4.310017334833509,13.498523677036637,4.68313926588855,4.222069846047719,5.954850083378843,4.111345629907952,5.67740904906772,4.903483507030884,5.597081830564174,15.503023934359593,5.8083370990954535,12.062918150723636,1.0
4.276566346809496,12.315170682460561,5.865282125107969,4.358592470520097,4.7024876645666565,5.786533272534155,4.213118960935536,5.1699834974038374,4.9876718813038465,14.894491986855394,4.43853140318516,19.261457472705857,1.0
